Al_sulfate_mol,Fe_sulfate_mol,Cu_sulfate_mol,Co_sulfate_mol,Ni_sulfate_mol,Mn_sulfate_mol,chem,temp,NaOH_stock,NaOH_mole,BattLeachate_volume
0.2002,0.01159,0.02016,0.3795,0.3459,0.3378,NMC111,25,1,0.515,1
0.2224,0.02316,0.2607,0.2312,0.6978,0.2674,NMC622,25,1,0.1012,1
0.04431,0.04282,0.1887,0.2743,0.6539,0.3413,NMC532,25,1,0.3652,1
0.03623,0.06463,0.0308,0.6851,0.6857,0.6121,NMC111,25,1,1.139,1
0.1866,0.08527,0.1625,0.1292,0.213,0.08515,NMC523,25,1,0.1156,1
0.06922,0.0154,0.4198,0.1178,0.318,0.1166,NMC622,25,1,0.1389,1
0.09629,0.05088,0.02845,0.9014,0.9759,0.9598,NMC111,25,1,0.9397,1
0.1133,0.0777,0.4141,0.05823,0.09528,0.03918,NMC523,25,1,0.06827,1
0.08866,0.0741,0.06251,0.1587,0.5108,0.1462,NMC622,25,1,0.3242,1
0.11,0.02956,0.07777,0.01758,0.04461,0.02624,NMC532,25,1,0.1295,1
0.1912,0.06324,0.2361,0.1528,0.4532,0.1631,NMC622,25,1,0.1658,1
0.1663,0.1021,0.3961,0.1023,0.8471,0.1019,NMC811,25,1,1.365,1
0.1197,0.06208,0.4464,0.3424,1.037,0.35,NMC622,25,1,0.5349,1
0.0402,0.03445,0.3725,0.5745,0.5361,0.5856,NMC111,25,1,0.04216,1
0.06186,0.06064,0.1815,0.539,0.5274,0.5937,NMC111,25,1,0.3309,1
0.1561,0.07742,0.05996,0.3979,1.079,0.4184,NMC622,25,1,0.2161,1
0.139,0.01598,0.2668,0.982,0.9786,0.9564,NMC111,25,1,0.06559,1
0.1984,0.02223,0.07599,0.249,0.422,0.1572,NMC523,25,1,0.08471,1
0.1189,0.03375,0.4487,0.7194,0.6809,0.6928,NMC111,25,1,0.02541,1
0.2262,0.06761,0.231,0.1643,0.2839,0.1297,NMC523,25,1,0.04673,1
0.07913,0.01869,0.1676,0.2606,2.216,0.276,NMC811,25,1,0.4503,1
0.1986,0.04807,0.08197,0.3634,0.397,0.4113,NMC111,25,1,0.02473,1
0.1824,0.1088,0.3153,0.01716,0.04337,0.02569,NMC532,25,1,0.03472,1
0.1219,0.03031,0.222,0.1041,0.2365,0.1549,NMC532,25,1,0.1398,1
0.01646,0.1081,0.2498,0.5636,1.315,0.8496,NMC532,25,1,0.08274,1
0.02094,0.06449,0.02276,0.007693,0.06794,0.007965,NMC811,25,1,0.05305,1
0.007312,0.07241,0.1003,0.5174,1.663,0.5439,NMC622,25,1,0.4568,1
0.03876,0.07512,0.09518,0.07623,0.1944,0.1204,NMC532,25,1,0.05564,1
0.1924,0.01792,0.1917,0.7136,1.095,0.4762,NMC523,25,1,0.3537,1
0.1348,0.1061,0.2434,0.9698,0.9386,1.052,NMC111,25,1,0.4891,1
0.1461,0.03296,0.3426,0.2547,0.3798,0.1659,NMC523,25,1,0.2237,1
0.02088,0.0788,0.03039,0.3937,0.961,0.5018,NMC532,25,1,0.08394,1
0.0565,0.1031,0.3687,0.6321,1.052,0.384,NMC523,25,1,0.08475,1
0.07023,0.05085,0.1238,0.1392,0.33,0.2088,NMC532,25,1,0.02576,1
0.1564,0.04577,0.2947,0.2893,0.4771,0.1824,NMC523,25,1,0.8146,1
0.01223,0.07864,0.06064,0.1094,0.1935,0.07935,NMC523,25,1,0.08265,1
0.1372,0.04975,0.1748,0.1639,1.361,0.1705,NMC811,25,1,0.0223,1
0.0932,0.06268,0.1913,0.557,0.5008,0.5911,NMC111,25,1,0.4766,1
0.06842,0.05802,0.2754,0.01792,0.1537,0.01958,NMC811,25,1,0.02083,1
0.07238,0.05342,0.3386,0.4899,1.469,0.4781,NMC622,25,1,0.1324,1
0.06642,0.1034,0.3763,0.1869,1.439,0.1639,NMC811,25,1,0.08106,1
0.07177,0.09544,0.09862,0.5871,1.342,0.736,NMC532,25,1,0.132,1
0.1732,0.04318,0.2631,0.5848,0.9985,0.3941,NMC523,25,1,1.223,1
0.08968,0.00278,0.2613,0.4061,0.6635,0.2898,NMC523,25,1,0.07735,1
0.08986,0.06471,0.3276,0.3551,0.8392,0.495,NMC532,25,1,0.4715,1
0.008003,0.02423,0.2397,0.2153,0.3171,0.1337,NMC523,25,1,0.2462,1
0.08264,0.01975,0.4497,0.1455,0.4463,0.1458,NMC622,25,1,0.03856,1
0.1633,0.01237,0.2898,0.494,0.7946,0.2871,NMC523,25,1,0.03375,1
0.1932,0.02184,0.1066,0.3962,1.227,0.3611,NMC622,25,1,0.4017,1
0.1918,0.05127,0.0976,0.1466,0.1465,0.1452,NMC111,25,1,0.782,1
0.03937,0.0659,0.2593,0.7812,0.8278,0.7806,NMC111,25,1,0.06159,1
0.1818,0.0996,0.2667,0.03933,0.1004,0.06117,NMC532,25,1,0.05214,1
0.04931,0.01007,0.1256,0.1399,1.234,0.1415,NMC811,25,1,0.2472,1
0.1181,0.03463,0.2995,0.6547,0.6595,0.6415,NMC111,25,1,0.08013,1
0.1319,0.1103,0.3586,0.0708,0.1738,0.1031,NMC532,25,1,0.03432,1
0.1226,0.02109,0.2132,0.03394,0.102,0.03293,NMC622,25,1,1.019,1
0.09967,0.02845,0.1756,0.4844,1.395,0.8754,NMC532,25,1,0.16,1
0.03581,0.06912,0.3072,0.1888,1.691,0.1935,NMC811,25,1,0.1353,1
0.008893,0.1065,0.3497,0.1447,0.4556,0.1634,NMC622,25,1,0.09112,1
0.2147,0.04329,0.2721,0.2442,0.6191,0.3169,NMC532,25,1,0.02209,1
0.04504,0.04832,0.1752,0.4598,1.387,0.4758,NMC622,25,1,1.15,1
0.0141,0.08238,0.2869,0.8295,1.633,0.61,NMC523,25,1,0.2953,1
0.03813,0.0244,0.1649,1.106,0.9862,0.9634,NMC111,25,1,0.1717,1
0.1404,0.06837,0.02811,0.1793,0.4467,0.269,NMC532,25,1,0.4986,1
0.09402,0.0297,0.1949,0.1041,0.2677,0.1648,NMC532,25,1,0.02886,1
0.05539,0.02165,0.02501,0.2693,0.2645,0.2981,NMC111,25,1,0.02125,1
0.07857,0.06127,0.051,0.3142,0.7566,0.4719,NMC532,25,1,0.04468,1
0.1842,0.1066,0.1695,0.5037,0.512,0.5125,NMC111,25,1,0.2596,1
0.05199,0.02018,0.1322,0.2739,2.005,0.2708,NMC811,25,1,0.2033,1
0.1909,0.0947,0.391,0.8138,0.7522,0.7741,NMC111,25,1,0.05471,1
0.09951,0.03039,0.4455,0.2258,0.5602,0.3482,NMC532,25,1,0.02888,1
0.1476,0.04339,0.3247,0.06753,0.1896,0.1112,NMC532,25,1,0.02547,1
0.2236,0.04459,0.08878,0.4106,1.088,0.6633,NMC532,25,1,0.6149,1
0.1325,0.03298,0.109,0.2929,2.306,0.3046,NMC811,25,1,0.4079,1
0.1304,0.02669,0.09486,0.1225,0.3628,0.1233,NMC622,25,1,0.0276,1
0.1853,0.07297,0.2412,0.3436,0.648,0.2368,NMC523,25,1,0.3533,1
0.1424,0.1079,0.2886,0.5915,1.469,0.9071,NMC532,25,1,0.1356,1
0.02781,0.09835,0.3422,0.02593,0.03655,0.01628,NMC523,25,1,0.05348,1
0.1738,0.01964,0.03296,0.5029,1.331,0.8127,NMC532,25,1,0.1951,1
0.02158,0.006912,0.3669,0.1237,0.1338,0.1281,NMC111,25,1,0.09563,1
0.1902,0.05119,0.07676,0.1298,0.1395,0.1524,NMC111,25,1,0.03032,1
0.1787,0.04804,0.00749,0.07447,0.6163,0.07389,NMC811,25,1,1.086,1
0.06532,0.05982,0.3742,0.8493,0.7628,0.742,NMC111,25,1,0.2106,1
0.08913,0.0859,0.0795,0.09046,0.7344,0.08961,NMC811,25,1,0.2723,1
0.1551,0.1091,0.1514,0.2485,0.6679,0.2255,NMC622,25,1,0.2487,1
0.04678,0.07721,0.3628,0.5967,1.516,0.8434,NMC532,25,1,0.0208,1
0.2081,0.07088,0.4078,0.5419,1.433,0.8401,NMC532,25,1,0.07381,1
0.168,0.05179,0.3399,0.01684,0.04135,0.02433,NMC532,25,1,0.03627,1
0.1557,0.09481,0.412,0.191,1.504,0.203,NMC811,25,1,0.0955,1
0.04397,0.07141,0.2033,0.5737,1.341,0.8806,NMC532,25,1,0.4655,1
0.1355,0.07754,0.2347,0.302,0.507,0.2205,NMC523,25,1,0.1048,1
0.1226,0.004706,0.159,0.04194,0.3299,0.04148,NMC811,25,1,0.4371,1
0.05164,0.07235,0.3452,0.2194,1.888,0.2406,NMC811,25,1,0.6803,1
0.08441,0.1025,0.3479,0.109,0.1168,0.1174,NMC111,25,1,0.4977,1
0.1348,0.02315,0.3731,0.1689,1.499,0.1805,NMC811,25,1,0.5545,1
0.1072,0.0617,0.1618,0.6784,0.6157,0.6711,NMC111,25,1,0.2192,1
0.2202,0.01676,0.1184,0.6354,1.072,0.4599,NMC523,25,1,0.1713,1
0.1484,0.03777,0.4514,0.7315,1.401,0.5207,NMC523,25,1,0.03406,1
0.03369,0.09146,0.3579,0.2761,2.033,0.2651,NMC811,25,1,0.4921,1
0.1261,0.02203,0.2754,0.8665,1.47,0.5158,NMC523,25,1,0.03094,1
0.1614,0.083,0.3058,0.3613,0.9518,0.3331,NMC622,25,1,0.1485,1
0.0819,0.0876,0.1332,0.1254,0.4315,0.1499,NMC622,25,1,0.1638,1
0.1066,0.01093,0.4536,0.4747,1.41,0.4707,NMC622,25,1,0.8258,1
0.1976,0.05705,0.04012,0.3242,0.2921,0.2998,NMC111,25,1,0.606,1
0.1477,0.07967,0.3812,0.6344,0.9641,0.4285,NMC523,25,1,1.008,1
0.008737,0.1084,0.2591,0.05697,0.1838,0.05667,NMC622,25,1,0.4206,1
0.08847,0.05181,0.2112,0.1788,1.402,0.1812,NMC811,25,1,0.2531,1
0.1057,0.06224,0.03582,0.4028,0.9805,0.5962,NMC532,25,1,0.1185,1
0.2202,0.04015,0.4516,0.271,2.163,0.275,NMC811,25,1,0.1608,1
0.2012,0.01245,0.2105,0.1923,0.5908,0.1992,NMC622,25,1,0.4236,1
0.1085,0.02277,0.11,0.9365,0.9355,0.924,NMC111,25,1,0.02971,1
0.06604,0.1101,0.1306,0.4668,0.8012,0.3099,NMC523,25,1,0.07454,1
0.02221,0.05118,0.08236,0.2005,1.612,0.2008,NMC811,25,1,0.04788,1
0.1776,0.0676,0.06109,0.9285,1.547,0.524,NMC523,25,1,0.02394,1
0.1895,0.02611,0.4342,0.1018,0.1004,0.1078,NMC111,25,1,1.248,1
0.1746,0.03425,0.2068,0.3394,0.9075,0.3045,NMC622,25,1,0.03471,1
0.1624,0.03255,0.2244,0.5903,0.5998,0.6935,NMC111,25,1,0.148,1
0.1413,0.05081,0.1929,0.1368,1.214,0.1452,NMC811,25,1,0.0311,1
0.0261,0.01348,0.3814,0.1612,1.268,0.1752,NMC811,25,1,0.03111,1
0.06427,0.02581,0.3697,0.1168,0.2985,0.1822,NMC532,25,1,0.6383,1
0.1491,0.03756,0.1216,0.9123,0.8898,0.9184,NMC111,25,1,0.09639,1
0.1185,0.0814,0.3812,0.07658,0.07239,0.07231,NMC111,25,1,0.07446,1
0.2037,0.067,0.3763,0.2761,2.473,0.278,NMC811,25,1,0.04554,1
0.1199,0.109,0.4569,0.7456,0.7524,0.7383,NMC111,25,1,0.07506,1
0.116,0.03639,0.4264,0.617,1.775,0.6184,NMC622,25,1,0.058,1
0.06301,0.01613,0.3663,0.03921,0.104,0.05745,NMC532,25,1,0.3089,1
0.08407,0.0744,0.1998,0.3931,1.012,0.6479,NMC532,25,1,0.2085,1
0.08969,0.07296,0.2135,0.08417,0.6681,0.09256,NMC811,25,1,0.02733,1
0.03214,0.02843,0.1455,0.763,1.331,0.5336,NMC523,25,1,1.154,1
0.08594,0.08158,0.1117,0.03581,0.2734,0.03305,NMC811,25,1,0.0859,1
0.1635,0.08191,0.1078,0.1648,1.339,0.1575,NMC811,25,1,1.29,1
0.2041,0.05039,0.02641,0.07458,0.1738,0.1063,NMC532,25,1,0.04043,1
0.1632,0.04457,0.0197,0.3111,2.344,0.3429,NMC811,25,1,0.2125,1
0.1244,0.003561,0.06546,0.5828,1.41,0.7797,NMC532,25,1,0.1552,1
0.2266,0.08531,0.401,0.3286,1.023,0.2956,NMC622,25,1,0.04546,1
0.1074,0.04843,0.01936,0.5253,1.599,0.5561,NMC622,25,1,0.6765,1
0.0508,0.007635,0.4101,0.2495,0.691,0.4017,NMC532,25,1,0.04176,1
0.1269,0.07631,0.1713,0.06525,0.5936,0.06953,NMC811,25,1,0.9819,1
0.07853,0.07625,0.142,0.5807,1.428,0.8533,NMC532,25,1,0.1208,1
0.02174,0.1048,0.3038,0.5944,1.34,0.8258,NMC532,25,1,1.205,1
0.005636,0.02862,0.384,0.2928,0.8902,0.2807,NMC622,25,1,0.06101,1
0.2114,0.06627,0.2328,0.03227,0.08763,0.05419,NMC532,25,1,0.0397,1
0.1102,0.006682,0.06631,0.1334,1.006,0.1315,NMC811,25,1,0.8566,1
0.1976,0.0756,0.2666,0.4188,1.36,0.4176,NMC622,25,1,0.1379,1
0.07319,0.04819,0.2309,0.1795,1.429,0.1918,NMC811,25,1,0.3098,1
0.0204,0.04971,0.3192,0.1603,1.21,0.1743,NMC811,25,1,0.9142,1
0.2188,0.06595,0.3914,0.08518,0.6938,0.08438,NMC811,25,1,0.9712,1
0.09489,0.05254,0.3995,0.062,0.1854,0.06148,NMC622,25,1,0.02725,1
0.1488,0.01699,0.1265,0.7021,1.093,0.4409,NMC523,25,1,0.3694,1
0.1318,0.02383,0.2744,0.3732,0.3528,0.3814,NMC111,25,1,1.081,1
0.04528,0.05417,0.1889,0.8585,1.538,0.571,NMC523,25,1,0.02474,1
0.1436,0.09656,0.1737,0.495,1.231,0.7665,NMC532,25,1,0.05972,1
0.2215,0.02021,0.3911,0.167,0.5583,0.1716,NMC622,25,1,0.3995,1
0.05068,0.02134,0.03758,0.1469,0.4092,0.1289,NMC622,25,1,0.07935,1
0.01816,0.02776,0.3468,0.3469,1.123,0.3425,NMC622,25,1,0.02122,1
0.1441,0.08575,0.2565,0.3732,0.357,0.3531,NMC111,25,1,0.1661,1
0.02527,0.02787,0.2249,0.6929,0.7224,0.7217,NMC111,25,1,0.3239,1
0.04662,0.04201,0.4328,0.186,1.572,0.1821,NMC811,25,1,0.09735,1
0.17,0.03511,0.3938,0.01718,0.125,0.01675,NMC811,25,1,0.8922,1
0.1305,0.02022,0.2932,0.3889,1.198,0.4287,NMC622,25,1,0.02196,1
0.03393,0.02292,0.04077,0.09066,0.6469,0.08347,NMC811,25,1,0.7846,1
0.1693,0.02032,0.2935,0.2744,0.9751,0.2585,NMC622,25,1,0.1589,1
0.04086,0.004408,0.109,0.5518,1.489,0.8091,NMC532,25,1,0.06213,1
0.07107,0.03034,0.2957,0.05836,0.4472,0.05668,NMC811,25,1,1.021,1
0.007851,0.0927,0.121,0.1432,0.3672,0.2215,NMC532,25,1,1.027,1
0.1114,0.1056,0.3202,0.1201,1.155,0.137,NMC811,25,1,0.06803,1
0.0108,0.09865,0.4371,0.4526,1.094,0.6398,NMC532,25,1,0.02423,1
0.05724,0.01739,0.4309,0.2198,1.636,0.2142,NMC811,25,1,0.06465,1
0.1681,0.04275,0.1617,0.6764,1.147,0.4314,NMC523,25,1,0.4382,1
0.009487,0.01473,0.4361,0.5142,0.4648,0.5051,NMC111,25,1,0.1286,1
0.2083,0.05321,0.4577,0.05794,0.1592,0.05474,NMC622,25,1,0.331,1
0.08139,0.08037,0.3432,0.1421,0.4348,0.1531,NMC622,25,1,0.1691,1
0.07318,0.04073,0.2657,0.1817,1.515,0.1798,NMC811,25,1,0.08982,1
0.2048,0.07014,0.4134,0.2766,2.271,0.2675,NMC811,25,1,0.4254,1
0.1195,0.01955,0.02918,0.2807,0.4453,0.2021,NMC523,25,1,0.742,1
0.1672,0.05985,0.1584,0.3481,0.3846,0.3634,NMC111,25,1,0.6646,1
0.01912,0.01118,0.2151,0.572,0.5313,0.4885,NMC111,25,1,0.08529,1
0.07026,0.02503,0.1065,0.3585,0.3603,0.3193,NMC111,25,1,0.1572,1
0.07751,0.01038,0.2563,0.1062,0.942,0.1148,NMC811,25,1,0.5417,1
0.1247,0.05979,0.1347,0.5251,1.718,0.5029,NMC622,25,1,0.05447,1
0.1927,0.004026,0.4371,0.2569,0.6715,0.2351,NMC622,25,1,0.558,1
0.1947,0.025,0.2211,0.5815,0.5886,0.6018,NMC111,25,1,0.1248,1
0.09367,0.0222,0.3627,0.2618,0.7214,0.3877,NMC532,25,1,0.09909,1
0.1906,0.1106,0.06756,0.1757,0.4373,0.2489,NMC532,25,1,0.6715,1
0.03575,0.01307,0.07796,0.3338,1.044,0.3814,NMC622,25,1,0.1143,1
0.05883,0.09918,0.3143,0.5471,1.49,0.8947,NMC532,25,1,0.3674,1
0.1721,0.1105,0.139,0.08984,0.7202,0.09059,NMC811,25,1,0.03747,1
0.1975,0.04103,0.187,0.4406,1.36,0.4645,NMC622,25,1,0.0374,1
0.1279,0.08934,0.3463,0.5334,1.241,0.8442,NMC532,25,1,0.4126,1
0.01388,0.05706,0.221,0.4707,0.8135,0.3232,NMC523,25,1,0.03293,1
0.07656,0.1005,0.2692,0.2836,2.307,0.2895,NMC811,25,1,0.0283,1
0.1171,0.05778,0.2573,0.5463,0.9936,0.3586,NMC523,25,1,0.9666,1
0.1529,0.09656,0.074,0.7307,1.136,0.5231,NMC523,25,1,1.372,1
0.1192,0.07312,0.1702,0.02358,0.1893,0.02097,NMC811,25,1,0.02133,1
0.04706,0.09991,0.1546,0.2092,0.4492,0.2843,NMC532,25,1,0.0212,1
0.06552,0.08011,0.1339,0.224,0.3675,0.1405,NMC523,25,1,0.2508,1
0.01187,0.04936,0.2569,0.4118,1.16,0.5805,NMC532,25,1,0.4953,1
0.1901,0.04451,0.2222,0.1436,1.01,0.1464,NMC811,25,1,0.03053,1
0.2114,0.08393,0.1088,0.09804,0.3238,0.1077,NMC622,25,1,0.02249,1
0.1021,0.09286,0.1769,0.1208,0.2777,0.1934,NMC532,25,1,0.9121,1
0.1071,0.08916,0.2883,0.6604,0.6481,0.7187,NMC111,25,1,0.1223,1
0.1146,0.1046,0.06975,0.571,1.28,0.7446,NMC532,25,1,0.02879,1
0.1482,0.1093,0.132,0.4327,1.069,0.6506,NMC532,25,1,0.08846,1
0.1672,0.03912,0.2104,0.495,0.435,0.4833,NMC111,25,1,0.05836,1
0.07627,0.09056,0.3125,0.5232,0.5319,0.502,NMC111,25,1,0.7002,1
0.0285,0.0857,0.06159,1.011,1.009,0.9841,NMC111,25,1,0.05576,1
0.06281,0.08275,0.03325,0.3007,2.452,0.3009,NMC811,25,1,0.4666,1
0.1338,0.1081,0.3384,0.4243,0.9502,0.6027,NMC532,25,1,0.3102,1
0.0744,0.02699,0.4331,0.1154,0.2739,0.184,NMC532,25,1,0.03714,1
0.1757,0.07304,0.1206,0.2635,0.8169,0.2499,NMC622,25,1,1.268,1
0.07625,0.0372,0.07415,0.5525,0.6332,0.6254,NMC111,25,1,0.1359,1
0.2066,0.05125,0.4564,0.1321,0.2362,0.09393,NMC523,25,1,0.0925,1
0.06691,0.08834,0.2577,0.1504,0.2055,0.09104,NMC523,25,1,1.241,1
0.1218,0.01721,0.1134,0.6992,0.7464,0.7682,NMC111,25,1,0.2139,1
0.01228,0.1027,0.1894,0.8168,1.298,0.5317,NMC523,25,1,0.09316,1
0.1921,0.04351,0.04628,0.07707,0.07492,0.0811,NMC111,25,1,0.11,1
0.07361,0.07768,0.01179,0.4806,1.204,0.6923,NMC532,25,1,0.03075,1
0.06232,0.02261,0.3237,0.03014,0.2406,0.02926,NMC811,25,1,0.1023,1
0.04262,0.0222,0.3196,0.6697,1.018,0.4967,NMC523,25,1,0.5802,1
0.1764,0.02375,0.07133,0.4145,1.324,0.4153,NMC622,25,1,0.08541,1
0.03602,0.09894,0.06987,0.6384,1.742,0.5943,NMC622,25,1,1.415,1
0.0968,0.05444,0.207,0.2286,0.5631,0.3875,NMC532,25,1,0.2516,1
0.1974,0.01042,0.09491,0.6211,1.87,0.5885,NMC622,25,1,0.0254,1
0.1895,0.03837,0.05663,0.4762,1.476,0.5067,NMC622,25,1,0.9064,1
0.0504,0.05568,0.1714,0.2295,1.92,0.2468,NMC811,25,1,0.3475,1
0.1726,0.09296,0.1164,0.9154,0.9491,0.9177,NMC111,25,1,0.04791,1
0.04147,0.05966,0.229,0.1318,0.3338,0.2164,NMC532,25,1,0.1191,1
0.03178,0.06312,0.2996,0.09205,0.2324,0.1489,NMC532,25,1,1.039,1
0.1291,0.06135,0.1867,0.2886,2.244,0.2731,NMC811,25,1,0.07318,1
0.1849,0.06192,0.3055,0.1419,0.1355,0.1426,NMC111,25,1,0.02718,1
0.1921,0.1033,0.29,0.4306,1.047,0.6211,NMC532,25,1,0.2849,1
0.1919,0.05247,0.4165,0.2115,0.6618,0.2047,NMC622,25,1,0.3838,1
0.03417,0.03187,0.04324,0.1793,1.52,0.1881,NMC811,25,1,0.103,1
0.1483,0.0944,0.1412,0.1019,0.2688,0.09241,NMC622,25,1,0.0554,1
0.2236,0.1051,0.353,0.1191,0.3196,0.1735,NMC532,25,1,1.49,1
0.05475,0.0152,0.2814,0.2868,0.9768,0.3441,NMC622,25,1,0.0399,1
0.09197,0.05774,0.2705,0.5323,0.8524,0.3522,NMC523,25,1,1.46,1
0.2146,0.07147,0.2815,0.5692,0.9152,0.3853,NMC523,25,1,0.02171,1
0.08134,0.01387,0.1638,0.4664,1.261,0.4588,NMC622,25,1,0.6577,1
0.1069,0.02404,0.3788,0.1496,0.2198,0.09091,NMC523,25,1,0.1828,1
0.06972,0.01761,0.1116,0.1593,1.345,0.1672,NMC811,25,1,0.03913,1
0.05123,0.03019,0.03805,0.2347,0.3825,0.1735,NMC523,25,1,0.4531,1
0.07948,0.1033,0.1923,0.6234,1.01,0.4344,NMC523,25,1,0.1167,1
0.0468,0.06272,0.4155,0.7367,0.7602,0.8573,NMC111,25,1,1.204,1
0.2081,0.101,0.07366,0.1342,0.4252,0.1397,NMC622,25,1,0.1091,1
0.1676,0.05542,0.2078,0.8908,0.9002,0.9697,NMC111,25,1,0.04621,1
0.175,0.08401,0.3553,0.1022,0.7592,0.09316,NMC811,25,1,0.1177,1
0.04574,0.1104,0.2641,0.7005,0.7022,0.7598,NMC111,25,1,0.1383,1
0.2192,0.0786,0.07573,0.205,1.653,0.1874,NMC811,25,1,0.2148,1
0.2249,0.08131,0.06866,0.1462,1.206,0.1467,NMC811,25,1,0.429,1
0.1061,0.03469,0.1273,0.9118,0.8954,0.9642,NMC111,25,1,0.02604,1
0.1074,0.07027,0.4467,0.576,1.707,0.6088,NMC622,25,1,0.03428,1
0.1389,0.07184,0.09773,0.4056,1.279,0.4146,NMC622,25,1,0.1398,1
0.2137,0.00844,0.0994,0.6148,0.9278,0.3952,NMC523,25,1,0.2911,1
0.05625,0.03576,0.2909,0.13,0.9908,0.1192,NMC811,25,1,0.05138,1
0.01393,0.01182,0.3378,0.9472,0.9781,0.8727,NMC111,25,1,0.05384,1
0.174,0.04872,0.1565,0.1868,1.418,0.1697,NMC811,25,1,0.07452,1
0.01367,0.01385,0.1122,0.5758,1.062,0.422,NMC523,25,1,0.03408,1
0.02265,0.09159,0.3152,0.4709,1.266,0.7031,NMC532,25,1,0.2576,1
0.177,0.03794,0.1653,0.2087,0.3289,0.1356,NMC523,25,1,1.382,1
0.06045,0.05185,0.148,0.6592,0.609,0.6373,NMC111,25,1,0.3793,1
0.1779,0.04829,0.3474,0.2983,0.7007,0.4437,NMC532,25,1,0.5004,1
0.208,0.06006,0.317,0.5434,1.772,0.5618,NMC622,25,1,0.5369,1
0.09467,0.04727,0.1833,0.5732,1.366,0.9007,NMC532,25,1,0.1011,1
0.05688,0.007662,0.06221,0.3409,0.7777,0.4603,NMC532,25,1,0.3667,1
0.02594,0.07376,0.104,0.1404,0.3636,0.2334,NMC532,25,1,0.02403,1
0.1328,0.09034,0.02902,0.3288,0.8152,0.5165,NMC532,25,1,1.352,1
0.2206,0.02804,0.3806,0.2691,0.7178,0.4247,NMC532,25,1,0.6347,1
0.04014,0.1081,0.1843,0.1395,0.2184,0.09262,NMC523,25,1,0.2067,1
0.1249,0.09305,0.2646,0.5061,1.318,0.8726,NMC532,25,1,0.03117,1
0.1796,0.04572,0.4074,0.2314,0.2245,0.2373,NMC111,25,1,0.5424,1
0.2188,0.04973,0.3071,0.7286,0.6911,0.6976,NMC111,25,1,0.4034,1
0.03818,0.01859,0.2263,0.02772,0.08699,0.02692,NMC622,25,1,0.0455,1
0.09806,0.06108,0.411,0.09899,0.2262,0.1275,NMC532,25,1,0.234,1
0.2174,0.03781,0.2317,0.3259,0.5443,0.2318,NMC523,25,1,0.04926,1
0.1305,0.04787,0.2128,0.6594,1.05,0.3703,NMC523,25,1,0.06741,1
0.02535,0.04476,0.1246,0.1194,0.1746,0.08833,NMC523,25,1,1.164,1
0.06169,0.06078,0.02981,0.2703,0.4198,0.1758,NMC523,25,1,0.2362,1
0.06033,0.08085,0.2064,0.8311,0.8435,0.8079,NMC111,25,1,0.1526,1
0.1147,0.1015,0.1936,0.145,1.15,0.16,NMC811,25,1,0.2107,1
0.074,0.09876,0.05208,0.811,0.8484,0.8278,NMC111,25,1,1.027,1
0.207,0.07592,0.1584,0.01051,0.08713,0.01202,NMC811,25,1,0.6872,1
0.1507,0.00341,0.3415,0.4546,1.106,0.6429,NMC532,25,1,0.08294,1
0.1737,0.09468,0.3107,0.3413,0.8963,0.5239,NMC532,25,1,0.4151,1
0.01772,0.008682,0.1868,0.9557,1.458,0.5904,NMC523,25,1,0.08696,1
0.07245,0.07328,0.253,0.5269,1.233,0.7901,NMC532,25,1,1.166,1
0.03125,0.0926,0.3335,0.9932,0.8551,0.9982,NMC111,25,1,0.02667,1
0.2236,0.07985,0.3848,0.2181,1.738,0.2058,NMC811,25,1,0.3683,1
0.128,0.1047,0.04861,0.5831,1.82,0.5825,NMC622,25,1,0.3958,1
0.07484,0.08676,0.2874,0.2799,0.9003,0.3194,NMC622,25,1,1.109,1
0.1843,0.07355,0.3611,0.07795,0.2308,0.07485,NMC622,25,1,0.267,1
0.1811,0.01115,0.01476,0.4,0.3869,0.3773,NMC111,25,1,0.04052,1
0.1573,0.1051,0.3511,0.4215,1.038,0.5926,NMC532,25,1,0.6727,1
0.009637,0.04532,0.09044,0.3661,0.7445,0.5048,NMC532,25,1,1.237,1
0.05369,0.005316,0.1129,0.463,0.4397,0.4404,NMC111,25,1,0.021,1
0.1054,0.09571,0.2559,0.7512,1.603,0.6168,NMC523,25,1,0.1212,1
0.05605,0.09984,0.2805,0.95,0.9271,0.957,NMC111,25,1,0.02966,1
0.2216,0.01755,0.4111,0.6689,0.7004,0.6282,NMC111,25,1,0.1695,1
0.2214,0.009527,0.246,0.395,1.216,0.3896,NMC622,25,1,0.1665,1
0.09652,0.0459,0.01072,0.5572,0.8178,0.3537,NMC523,25,1,0.3502,1
0.06887,0.01585,0.1607,0.119,0.3641,0.1197,NMC622,25,1,0.07434,1
0.2227,0.01737,0.1151,0.4735,1.71,0.4701,NMC622,25,1,0.2858,1
0.1639,0.01884,0.1578,0.1516,1.276,0.1456,NMC811,25,1,0.5641,1
0.03261,0.01969,0.2509,0.9424,1.024,0.9404,NMC111,25,1,0.08164,1
0.1945,0.08006,0.01375,0.9353,0.8665,0.8276,NMC111,25,1,0.09101,1
0.1313,0.06042,0.2068,0.1785,0.5732,0.1772,NMC622,25,1,0.7638,1
0.2003,0.06415,0.3776,0.05347,0.137,0.07337,NMC532,25,1,0.04144,1
0.145,0.08901,0.4212,0.4688,0.8739,0.3396,NMC523,25,1,0.02453,1
